time,open,high,low,close,Senkou A,Senkou B,Buy,Sell,Volume,Volume MA
2022-04-22T03:35:00Z,40471.1,40577.7,40471.1,40576.81,40429.6325,40514.96,1,0,0.20809815,1.290981689
2022-04-22T03:40:00Z,40576.95,40620.62,40562.49,40578.41,40443.02,40497.785,0,0,0.85592108,1.18931803
2022-04-22T03:45:00Z,40562.57,40581.22,40546.55,40560.69,40443.02,40497.785,0,0,1.3154852,1.223112447
2022-04-22T03:50:00Z,40554.01,40581.94,40529.74,40529.74,40434.7725,40476.74,0,1,5.49441179,1.391172452
2022-04-22T03:55:00Z,40538.65,40541.41,40480.96,40513.5,40429.2325,40465.83,0,0,2.9897503,1.444918312
2022-04-22T04:00:00Z,40513.5,40561.14,40467.67,40540.81,40402.245,40413.255,0,0,3.29107744,1.59496195
2022-04-22T04:05:00Z,40539.68,40578.81,40539.68,40571.51,40422.785,40315.135,1,0,3.16672399,1.692668033
2022-04-22T04:10:00Z,40555.03,40599.38,40555.03,40559.08,40422.95,40315.135,0,0,0.88908989,1.659458486
2022-04-22T04:15:00Z,40559.08,40599.69,40559.07,40572.23,40424.4,40315.135,0,0,0.69053266,1.533030779
2022-04-22T04:20:00Z,40572.23,40628.07,40572.23,40593.58,40440.1975,40315.135,0,0,1.53988134,1.554330153
2022-04-22T04:25:00Z,40604.83,40609.03,40578.68,40609.03,40445.0525,40315.135,0,0,0.9755593,1.528482712
2022-04-22T04:30:00Z,40605.25,40615.29,40574.58,40577.68,40445.0525,40315.135,0,0,0.5226911,1.518521074
2022-04-22T04:35:00Z,40576.28,40608.42,40564.35,40584.08,40445.0525,40310.725,0,1,1.84158184,1.597042858
2022-04-22T04:40:00Z,40581.94,40609.06,40570.58,40605.71,40458.6525,40309.09,0,0,0.97725701,1.494013674
2022-04-22T04:45:00Z,40604.03,40622.35,40597.85,40613.46,40458.6525,40309.09,0,0,1.40462882,1.519805492
2022-04-22T04:50:00Z,40618.65,40640.76,40576.7,40612.66,40458.6525,40309.09,0,0,1.30748352,1.568830344
2022-04-22T04:55:00Z,40592.39,40637.5,40585.58,40637.5,40464.32,40309.09,0,0,0.40378543,1.449783871
2022-04-22T05:00:00Z,40637.5,40675.99,40609.72,40646.23,40480.3675,40305.28,0,0,6.85834981,1.771026064
2022-04-22T05:05:00Z,40650.43,40685.76,40632.15,40681.42,40497.4075,40305.28,0,0,3.50103846,1.934267556
2022-04-22T05:10:00Z,40672.26,40684.79,40644.37,40684.79,40509.785,40298.745,0,0,44.55504135,4.139419424
2022-04-22T05:15:00Z,40685.76,40719.76,40673.36,40703.29,40509.785,40286.975,0,0,61.59806036,7.208917534
2022-04-22T05:20:00Z,40712.67,40718.96,40681.26,40697.57,40495.925,40286.975,0,0,3.98899874,7.365571417
2022-04-22T05:25:00Z,40704.82,40713.83,40667.5,40687.93,40495.925,40286.975,0,0,1.4107017,7.370332242
2022-04-22T05:30:00Z,40696.28,40722,40670.26,40722,40495.36,40286.975,0,0,2.21102684,7.206162995
2022-04-22T05:35:00Z,40690.28,40713.17,40686.06,40692.04,40495.36,40286.975,0,0,3.9963056,7.25649076
2022-04-22T05:40:00Z,40700.01,40700.01,40663.01,40683.07,40495.36,40286.975,0,0,0.77721413,7.130797594
2022-04-22T05:45:00Z,40712.15,40741.91,40695.61,40712.25,40515.9,40280.185,0,0,1.6000162,7.052462205
2022-04-22T05:50:00Z,40695.61,40712.25,40674.77,40684.64,40516.065,40229.51,0,0,1.15683716,7.065849568
2022-04-22T05:55:00Z,40674.77,40691.2,40644.79,40680.67,40503.475,40207.05,0,0,4.96502711,7.279574291
2022-04-22T06:00:00Z,40674.23,40717.12,40674.23,40704.22,40501.77,40294.855,1,0,0.73339623,7.239250035
2022-04-22T06:05:00Z,40709.93,40744.47,40695.45,40708.6,40501.77,40413.81,0,0,0.79907869,7.230426005
2022-04-22T06:10:00Z,40703.52,40758.18,40680.27,40757.21,40512.5325,40440.585,0,0,1.92782689,7.300682794
2022-04-22T06:15:00Z,40741.25,40799.97,40741.25,40769.1,40512.5325,40440.585,0,0,0.96197819,7.256702612
2022-04-22T06:20:00Z,40769.1,40779.06,40760.35,40776.1,40524.7525,40440.585,0,0,1.98667212,7.307173367
2022-04-22T06:25:00Z,40765.23,40767.3,40731.38,40737.34,40524.7525,40440.585,0,0,3.47520217,7.410702035
2022-04-22T06:30:00Z,40724.68,40739.33,40691.36,40726.5,40524.7525,40440.585,0,1,0.71531013,7.381093365
2022-04-22T06:35:00Z,40728.68,40733.98,40683.9,40694.35,40524.7525,40440.585,0,0,1.08427935,7.415118061
2022-04-22T06:40:00Z,40693.19,40702.96,40644.52,40652.18,40533.015,40440.585,0,0,1.54923728,7.149662435
2022-04-22T06:45:00Z,40636.58,40708.78,40627.76,40708.78,40543.0075,40440.585,0,0,1.03041748,7.026131386
2022-04-22T06:50:00Z,40690.74,40698.84,40668.11,40686.84,40547.1325,40440.585,0,0,0.42107755,4.819433196
2022-04-22T06:55:00Z,40679.32,40709.92,40669.03,40695.34,40547.1325,40440.585,0,0,3.22424516,1.900742436
2022-04-22T07:00:00Z,40694.16,40731.04,40685.11,40703.63,40547.1325,40440.585,0,0,0.76334957,1.739459977
2022-04-22T07:05:00Z,40700.53,40715.54,40676.95,40708.96,40547.1325,40440.585,0,0,0.20416649,1.679133217
2022-04-22T07:10:00Z,40708.74,40755.19,40708.74,40751.15,40547.1325,40440.585,1,0,1.94308152,1.665735951
2022-04-22T07:15:00Z,40740.43,40756.15,40677.99,40680.02,40547.1325,40440.585,0,1,3.46866988,1.639354165
2022-04-22T07:20:00Z,40682.43,40682.43,40403.97,40481.6,40568.3075,40440.585,0,0,6.50076219,1.925531568
2022-04-22T07:25:00Z,40493.4,40502.85,40432.65,40454.8,40572.145,40440.585,0,0,3.34605591,2.012833553
2022-04-22T07:30:00Z,40446.78,40459.7,40315.25,40380.71,40590.5,40461.4,0,0,107.6240743,7.336195409
2022-04-22T07:35:00Z,40383.25,40470.99,40340.98,40462.79,40596.705,40466.285,0,0,14.09917961,7.792903034
2022-04-22T07:40:00Z,40485.46,40808.66,40485.46,40723.97,40596.705,40466.285,1,0,18.20436959,8.666451702
2022-04-22T07:45:00Z,40723.96,40785.07,40685.24,40692.62,40613.705,40483.285,0,0,5.19432942,8.886214238
2022-04-22T07:50:00Z,40681.38,40723.44,40633.74,40676,40615.4775,40483.285,0,0,1.46579424,8.863112606
2022-04-22T07:55:00Z,40683.38,40741.01,40628.88,40716.47,40617.035,40483.285,0,0,2.66946989,8.948487191
2022-04-22T08:00:00Z,40719.94,40753.87,40681.18,40749.15,40619.83,40484.405,0,0,6.28538156,9.163422663
2022-04-22T08:05:00Z,40740.42,40775.13,40691.62,40700,40619.83,40484.405,0,0,6.27755734,9.303540421
2022-04-22T08:10:00Z,40702.51,40702.51,40639.45,40654.97,40622.05,40484.405,0,0,1.7264929,9.35409956
2022-04-22T08:15:00Z,40638.13,40649.99,40400,40484.6,40638.04,40535.44,0,1,126.9137761,15.6455744
2022-04-22T08:20:00Z,40470,40535.77,40470,40516.04,40643.6475,40535.77,0,0,36.17157685,17.37669138
2022-04-22T08:25:00Z,40517.89,40517.89,40453.16,40474.26,40646.7025,40535.77,0,0,25.32817831,18.59157942
2022-04-22T08:30:00Z,40473.76,40536.63,40442.77,40536.54,40649.07,40535.77,0,0,13.40919714,19.2409854
2022-04-22T08:35:00Z,40540.66,40563.41,40523.65,40549.52,40650.35,40537.05,1,0,4.21676372,19.29061133
2022-04-22T08:40:00Z,40543.13,40543.98,40468.57,40505.12,40657.205,40543.905,0,0,2.91206243,19.39804697
2022-04-22T08:45:00Z,40484.66,40498.11,40378.05,40394.09,40678.1,40564.8,0,0,4.06677558,19.59117742
2022-04-22T08:50:00Z,40391.51,40437.67,40371.63,40436.06,40678.1,40588.95,0,0,0.86350158,19.53719843
2022-04-22T08:55:00Z,40446.08,40451.61,40403.57,40412.2,40678.1,40588.95,0,0,1.54734379,19.44113212
2022-04-22T09:00:00Z,40415.09,40443.55,40349.71,40427.64,40696.1025,40588.95,0,0,2.22086347,19.22713719
2022-04-22T09:05:00Z,40427.78,40446.12,40340.48,40340.48,40699.94,40588.95,0,0,4.32142952,19.27590587
2022-04-22T09:10:00Z,40351.26,40404.1,40351.26,40380,40700.8825,40605.475,0,1,2.72364376,14.03088434
2022-04-22T09:15:00Z,40376.4,40471.52,40352.7,40445.12,40698.0125,40625.46,1,0,2.81767019,13.46680887
2022-04-22T09:20:00Z,40432.18,40482.06,40428.62,40464.29,40698.0125,40625.46,0,0,0.35679224,12.57443
2022-04-22T09:25:00Z,40464.29,40480.1,40421.5,40444.19,40698.0125,40625.46,0,0,2.22854251,12.42614066
2022-04-22T09:30:00Z,40446,40469.19,40397.66,40408.95,40698.0125,40625.46,0,1,0.47060534,12.37638121
2022-04-22T09:35:00Z,40417.66,40428.49,40322.13,40368.87,40694.3425,40625.46,0,0,2.87198049,12.38650674
2022-04-22T09:40:00Z,40381.68,40387.48,40354.48,40360,40692.9325,40625.46,0,0,1.90942789,12.16770906
2022-04-22T09:45:00Z,40346.91,40399.29,40319.58,40390.26,40690.145,40625.46,0,0,3.32482713,12.02007255
2022-04-22T09:50:00Z,40405.25,40405.25,40349.57,40358.13,40591.015,40601.97,0,0,0.45816963,11.95665639
2022-04-22T09:55:00Z,40366.26,40368.37,40200,40297.5,40591.015,40601.97,0,0,26.44549862,6.933242509
2022-04-22T10:00:00Z,40292.54,40375.74,40137,40217.8,40546.655,40557.61,0,0,4.93057301,5.371192317
2022-04-22T10:05:00Z,40226.18,40251.67,40196.53,40219.68,40546.655,40557.61,0,0,1.13544691,4.161555747
2022-04-22T10:10:00Z,40204.79,40333.13,40204.79,40316.91,40561.955,40561.955,0,0,1.41842975,3.562017378
2022-04-22T10:15:00Z,40323.28,40411.6,40323.28,40388.37,40561.955,40561.955,1,0,21.49622677,4.42599053
2022-04-22T10:20:00Z,40390.08,40425.89,40382.54,40418.52,40561.955,40561.955,0,0,1.73796019,4.367285418
2022-04-22T10:25:00Z,40407.6,40407.6,40370.52,40397.77,40561.955,40561.955,0,0,0.72175691,4.200034485
2022-04-22T10:30:00Z,40380.76,40416.88,40310.13,40409.3,40561.955,40561.955,0,0,1.3321665,4.223467731
2022-04-22T10:35:00Z,40383.31,40442.81,40381.19,40415.04,40561.955,40561.955,0,0,0.29214,4.160707541
2022-04-22T10:40:00Z,40433.65,40465.04,40401.5,40455.21,40561.955,40561.955,0,0,1.07153004,4.10324087
2022-04-22T10:45:00Z,40454.53,40492.35,40423.68,40435.26,40561.955,40561.955,0,0,0.40719487,3.907529137
2022-04-22T10:50:00Z,40446.68,40458.23,40398,40458.23,40568.3875,40561.955,0,1,1.74385622,3.85853976
2022-04-22T10:55:00Z,40452.09,40476.46,40446.22,40468.32,40583.1425,40561.955,0,0,1.60664705,3.797988603
2022-04-22T11:00:00Z,40477.65,40511.92,40452.15,40452.15,40577.245,40561.955,0,0,0.39316244,3.799807113
2022-04-22T11:05:00Z,40483.02,40498.95,40424.5,40498.95,40574.76,40561.955,0,0,0.83616433,3.730188204
2022-04-22T11:10:00Z,40501.83,40589.27,40492.62,40589.27,40574.76,40561.955,0,0,1.10549794,3.761932834
2022-04-22T11:15:00Z,40591.59,40591.59,40537.59,40580.99,40569.2725,40561.955,0,0,0.55904532,3.646286076
2022-04-22T11:20:00Z,40571.26,40591.15,40517.59,40545.01,40567.6675,40561.955,0,0,29.63221592,5.032425477
2022-04-22T11:25:00Z,40535.86,40560,40503.5,40558.46,40549.5125,40561.955,0,0,4.86233171,5.109300706
2022-04-22T11:30:00Z,40559.28,40577.95,40437.25,40474.2,40530.9025,40561.955,0,0,6.31945123,5.402364786
2022-04-22T11:35:00Z,40492.2,40541.31,40464.09,40541.31,40506.95,40561.955,0,0,3.47308487,4.253744099
